Induction,Species,Genotype,uniqueID,Replanted,Damage_rank,Cricket_escaped
Control,Barley,Austenson,123,,,
MeJA,Triticale,Pronghorn,124,,,
Control,Barley,Austenson,125,,,
MeJA,Wheat,Brandon,126,,,
Control,Barley,Copeland,127,,,
Insect,Barley,Synergy,128,,S,
MeJA,Oats,Summit,129,,,
Control,Wheat,Landmark,130,,,
Insect,Triticale,Pronghorn,131,,S,
MeJA,Oats,Morgan,132,,,
Control,Barley,Austenson,133,,,
MeJA,Wheat,Plentiful,134,,,
Insect,Barley,Copeland,135,,N,
MeJA,Triticale,Stampeder,136,,,
Insect,Triticale,Stampeder,137,,S,
Insect,Oats,Camden,138,,M,
MeJA,Barley,Copeland,139,,,
MeJA,Barley,Copeland,140,,,
Insect,Oats,Summit,141,,N,
Insect,Oats,Summit,142,,N,
Control,Barley,Copeland,143,,,
Control,Oats,Summit,144,,,
Control,Triticale,Stampeder,145,,,
Insect,Oats,Summit,146,,M,
MeJA,Triticale,Pronghorn,147,,,
Control,Barley,Austenson,148,,,
Insect,Oats,Camden,149,,N,
Control,Triticale,Tyndal,150,1,,
MeJA,Oats,Camden,151,,,
Insect,Triticale,Stampeder,152,,N,
Control,Oats,Camden,153,,,
Control,Oats,Camden,154,,,
Insect,Triticale,Pronghorn,155,,S,
Control,Barley,Synergy,156,,,
Control,Wheat,Landmark,157,,,
Control,Wheat,Brandon,158,,,
Insect,Oats,Camden,159,,M,
MeJA,Barley,Synergy,160,,,
Insect,Barley,Synergy,161,,S,
MeJA,Triticale,Stampeder,162,,,
Insect,Oats,Morgan,163,,S,
Insect,Triticale,Stampeder,164,,S,
Control,Triticale,Pronghorn,165,,,
Control,Wheat,Brandon,166,,,
Insect,Oats,Morgan,167,,N,
MeJA,Wheat,Plentiful,168,,,
Control,Barley,Copeland,169,,,
Control,Oats,Morgan,170,,,
Insect,Barley,Austenson,171,,S,
Control,Triticale,Tyndal,172,1,,
Insect,Barley,Copeland,173,,M,
MeJA,Wheat,Plentiful,174,,,
Insect,Oats,Camden,175,,N,
Control,Oats,Morgan,176,,,
MeJA,Barley,Synergy,177,,,
Control,Wheat,Brandon,178,,,
Insect,Oats,Summit,179,,N,
Insect,Oats,Summit,180,,M,
Insect,Wheat,Landmark,181,,S,
Control,Oats,Morgan,182,,,
Control,Oats,Camden,183,,,
Control,Wheat,Plentiful,184,,,
Control,Triticale,Stampeder,185,,,
MeJA,Triticale,Stampeder,186,,,
Insect,Wheat,Plentiful,187,,N,
MeJA,Triticale,Stampeder,188,,,
Control,Wheat,Plentiful,189,,,
Control,Wheat,Landmark,190,,,
Insect,Oats,Morgan,191,,N,
Insect,Wheat,Brandon,192,,S,
Insect,Wheat,Landmark,193,,S,
Insect,Wheat,Brandon,194,,S,
Control,Oats,Morgan,195,,,
MeJA,Triticale,Pronghorn,196,,,
Insect,Wheat,Landmark,197,,M,
Insect,Triticale,Stampeder,198,,M,
MeJA,Barley,Copeland,199,,,
MeJA,Barley,Austenson,200,,,
Control,Wheat,Brandon,201,,,
Control,Wheat,Landmark,202,,,
Insect,Barley,Austenson,203,,N,
MeJA,Oats,Morgan,204,,,
Control,Oats,Morgan,205,,,
MeJA,Barley,Austenson,206,,,
MeJA,Oats,Camden,207,,,
Insect,Wheat,Brandon,208,,N,
Insect,Barley,Austenson,209,,N,
Control,Triticale,Stampeder,210,,,
MeJA,Wheat,Brandon,211,,,
MeJA,Oats,Morgan,212,,,
MeJA,Wheat,Brandon,213,,,
MeJA,Triticale,Stampeder,214,,,
Control,Triticale,Tyndal,215,,,
Control,Triticale,Tyndal,216,1,,
Insect,Wheat,Plentiful,217,,N,
Insect,Wheat,Brandon,218,,S,
Control,Wheat,Plentiful,219,,,
MeJA,Barley,Austenson,220,,,
MeJA,Oats,Camden,221,,,
Control,Wheat,Plentiful,222,,,
MeJA,Barley,Synergy,223,,,
Insect,Barley,Synergy,224,,S,
MeJA,Oats,Summit,225,,,
MeJA,Oats,Camden,226,,,
MeJA,Wheat,Plentiful,227,,,
MeJA,Wheat,Brandon,228,,,
Insect,Wheat,Plentiful,229,,S,
Control,Triticale,Pronghorn,230,,,
Control,Triticale,Tyndal,231,1,,
Insect,Barley,Copeland,232,,N,
Control,Wheat,Landmark,233,,,
Control,Wheat,Landmark,234,,,
Insect,Wheat,Landmark,235,,S,1
Insect,Barley,Synergy,236,,S,
Insect,Triticale,Pronghorn,237,,S,
MeJA,Oats,Morgan,238,,,
Insect,Barley,Copeland,239,,M,
MeJA,Barley,Austenson,240,,,
MeJA,Triticale,Tyndal,241,1,,
MeJA,Barley,Copeland,242,,,
Insect,Barley,Copeland,243,,M,
Insect,Barley,Austenson,244,,S,
Control,Barley,Austenson,245,,,
Control,Triticale,Tyndal,246,1,,
Control,Wheat,Plentiful,247,,,
MeJA,Wheat,Plentiful,248,,,
Insect,Triticale,Pronghorn,249,,M,
Control,Triticale,Stampeder,250,,,
MeJA,Barley,Copeland,251,,,
Insect,Barley,Austenson,252,,M,
