Induction,Species,Genotype,uniqueID,Replanted,Damage_rank,Cricket_escaped,Si_ppm
Insect,Oats,Summit,146,,M,,2331
MeJA,Triticale,Pronghorn,147,,,,4613
Control,Barley,Austenson,148,,,,4052
Control,Triticale,Tyndal,150,1,,,9923
MeJA,Oats,Camden,151,,,,3510
Control,Oats,Camden,153,,,,4313
Control,Oats,Camden,154,,,,2725
Insect,Triticale,Pronghorn,155,,S,,9646
Control,Barley,Synergy,156,,,,3733
Control,Wheat,Landmark,157,,,,4468
Control,Wheat,Brandon,158,,,,7971
Insect,Oats,Camden,159,,M,,3311
MeJA,Barley,Synergy,160,,,,5847
Insect,Barley,Synergy,161,,S,,2941
MeJA,Triticale,Stampeder,162,,,,5115
Insect,Oats,Morgan,163,,S,,2329
Insect,Triticale,Stampeder,164,,S,,9600
Control,Triticale,Pronghorn,165,,,,9134
Control,Wheat,Brandon,166,,,,6361
MeJA,Wheat,Plentiful,168,,,,10849
Control,Barley,Copeland,169,,,,3962
Control,Oats,Morgan,170,,,,3022
Insect,Barley,Austenson,171,,S,,2678
Insect,Barley,Copeland,173,,M,,4148
MeJA,Wheat,Plentiful,174,,,,8946
Control,Oats,Morgan,176,,,,4826
MeJA,Barley,Synergy,177,,,,4018
Control,Wheat,Brandon,178,,,,6376
Insect,Oats,Summit,180,,M,,2547
Insect,Wheat,Landmark,181,,S,,2752
Control,Oats,Morgan,182,,,,2426
Control,Oats,Camden,183,,,,3839
Control,Wheat,Plentiful,184,,,,9399
Control,Triticale,Stampeder,185,,,,4148
MeJA,Triticale,Stampeder,186,,,,8105
MeJA,Triticale,Stampeder,188,,,,5075
Control,Wheat,Plentiful,189,,,,8266
Control,Wheat,Landmark,190,,,,4811
Insect,Wheat,Brandon,192,,S,,5562
Insect,Wheat,Landmark,193,,S,,5951
Insect,Wheat,Brandon,194,,S,,4754
Control,Oats,Morgan,195,,,,3975
MeJA,Triticale,Pronghorn,196,,,,9758
Insect,Wheat,Landmark,197,,M,,3338
Insect,Triticale,Stampeder,198,,M,,4536
MeJA,Barley,Copeland,199,,,,2469
MeJA,Barley,Austenson,200,,,,4880
Control,Wheat,Brandon,201,,,,8566
Control,Wheat,Landmark,202,,,,8887
MeJA,Oats,Morgan,204,,,,2897
Control,Oats,Morgan,205,,,,3962
MeJA,Barley,Austenson,206,,,,5370
MeJA,Oats,Camden,207,,,,4732
Control,Triticale,Stampeder,210,,,,4758
MeJA,Wheat,Brandon,211,,,,8900
MeJA,Oats,Morgan,212,,,,3379
MeJA,Wheat,Brandon,213,,,,6034
Insect,Wheat,Brandon,218,,S,,8093
Control,Wheat,Plentiful,219,,,,14342
MeJA,Barley,Austenson,220,,,,4307
MeJA,Oats,Camden,221,,,,3436
Control,Wheat,Plentiful,222,,,,7136
Insect,Barley,Synergy,224,,S,,3684
MeJA,Oats,Summit,225,,,,2960
MeJA,Oats,Camden,226,,,,3596
MeJA,Wheat,Plentiful,227,,,,10073
MeJA,Wheat,Brandon,228,,,,7486
Insect,Wheat,Plentiful,229,,S,,9885
Control,Triticale,Pronghorn,230,,,,4798
Control,Wheat,Landmark,233,,,,6919
Control,Wheat,Landmark,234,,,,4834
Insect,Wheat,Landmark,235,,S,1,3588
Insect,Barley,Synergy,236,,S,,3537
Insect,Triticale,Pronghorn,237,,S,,4330
MeJA,Oats,Morgan,238,,,,5187
Insect,Barley,Copeland,239,,M,,1962
MeJA,Barley,Austenson,240,,,,6729
MeJA,Barley,Copeland,242,,,,5303
Insect,Barley,Copeland,243,,M,,2893
Insect,Barley,Austenson,244,,S,,5396
Control,Barley,Austenson,245,,,,4103
Control,Wheat,Plentiful,247,,,,11516
MeJA,Wheat,Plentiful,248,,,,11954
Insect,Triticale,Pronghorn,249,,M,,5012
Control,Triticale,Stampeder,250,,,,3907
MeJA,Barley,Copeland,251,,,,2576
Insect,Barley,Austenson,252,,M,,2934
